Orchestra type,Group,Instrument,Number
Modern orchestra,Brass,Baritone horn,1
Early Romantic orchestra,Woodwinds,Bass Clarinet,1
Late Romantic orchestra,Woodwinds,Bass Clarinet,1
Early Romantic orchestra,Percussion,Bass Drum,1
Late Romantic orchestra,Percussion,Bass Drum,1
Modern orchestra,Percussion,Bass Drum,1
Classical orchestra,Woodwinds,Bassoons,2
Early Romantic orchestra,Woodwinds,Bassoons,2
Late Romantic orchestra,Woodwinds,Bassoons,3
Modern orchestra,Woodwinds,Bassoons,4
Late Romantic orchestra,Keyboards,Celesta,1
Modern orchestra,Keyboards,Celesta,1
Classical orchestra,Strings,Cellos,2
Early Romantic orchestra,Strings,Cellos,8
Late Romantic orchestra,Strings,Cellos,10
Modern orchestra,Strings,Cellos,12
Late Romantic orchestra,Percussion,Chimes,1
Classical orchestra,Woodwinds,Clarinets,2
Modern orchestra,Woodwinds,Clarinets,4
Early Romantic orchestra,Woodwinds,Clarinets,2
Late Romantic orchestra,Woodwinds,Clarinets,3
Early Romantic orchestra,Woodwinds,Contrabassoon,1
Late Romantic orchestra,Woodwinds,Contrabassoon,1
Early Romantic orchestra,Brass,Cornet,2
Early Romantic orchestra,Percussion,Cymbals,1
Late Romantic orchestra,Percussion,Cymbals,1
